Work Attribute Category,General Work Attribute,Specific Work Attribute,Work Attribute Question
Skill,Technical Skill,Quality Control Analysis,How important is each Technical skill to this position? [Quality Control Analysis]
Skill,Technical Skill,Technology Design,How important is each Technical skill to this position? [Technology Design]
Skill,Technical Skill,Troubleshooting,How important is each Technical skill to this position? [Troubleshooting]
Skill,Technical Skill,Equipment Maintenance,How important is each Technical skill to this position? [Equipment Maintenance]
Style,Achievement Orientation,Achievement/Effort,How important is Achievement Orientation to this position? [Achievement/Effort]
Style,Achievement Orientation,Initiative,How important is Achievement Orientation to this position? [Initiative]
Style,Achievement Orientation,Persistence,How important is Achievement Orientation to this position? [Persistence]
Style,Adjustment,Adaptability/Flexibility,How important is Adjustment to this position? [Adaptability/Flexibility]
Style,Adjustment,Self-Control,How important is Adjustment to this position? [Self-Control]
Style,Adjustment,Stress Tolerance,How important is Adjustment to this position? [Stress Tolerance]
Style,Conscientiousness,Attention to Detail,How important is Conscientiousness to this position? [Attention to Detail]
Style,Conscientiousness,Dependability,How important is Conscientiousness to this position? [Dependability]
Style,Conscientiousness,Integrity,How important is Conscientiousness to this position? [Integrity]
Style,Conscientiousness,Independence,How important is Conscientiousness to this position? [Independence]
Style,Influence,Social Influence,How important is Influence to this position? [Social Influence]
Style,Influence,Leadership,How important is Influence to this position? [Leadership]
Style,Interpersonal Orientation,Concern for Others,How important is Interpersonal Orientation to this position? [Concern for Others]
Style,Interpersonal Orientation,Cooperation,How important is Interpersonal Orientation to this position? [Cooperation]
Style,Interpersonal Orientation,Social Orientation,How important is Interpersonal Orientation to this position? [Social Orientation]
Style,Practical Intelligence,Analytical Thinking,How important is Practical Intelligence to this position? [Analytical Thinking]
Style,Practical Intelligence,Innovation,How important is Practical Intelligence to this position? [Innovation]
